key,input,activity10
KJEBULYHNRNJTE-DHZHZOJOSA-N,O(C(=O)C=1C(C(C(OC\C=C\c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCOC,0.6022277227722772
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,O(C(=O)C=1[C@@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@@H]1CCCN(C1)Cc1ccccc1,0.4317892503536068
ZKFQEACEUNWPMT-UHFFFAOYSA-N,O(C(=O)C=1C(C(C(OC(C)C)=O)=C(NC=1N)C)c1cc([N+](=O)[O-])ccc1)C1CN(C1)C(c1ccccc1)c1ccccc1,0.4370933521923621
NCUCGYYHUFIYNU-UHFFFAOYSA-N,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1[N+](=O)[O-])CC(=O)C,0.038778877887788776
VXMOONUMYLCFJD-DHLKQENFSA-N,O(C(=O)C=1[C@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@H]1CCN(C1)Cc1ccccc1,0.4346770391324846
HDOZVRUNCMBHFH-UHFFFAOYSA-N,Clc1cc2c(Sc3c(C=C2OCCN(C)C)cccc3)cc1,0.7281353135313532
DKMFBWQBDIGMHM-UHFFFAOYSA-N,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)C,0.7029702970297029
XVGOZDAJGBALKS-UHFFFAOYSA-N,Fc1ccc(cc1)-c1cc(nc2c1CCCCCC2)N1CCN(CC1)CC,0.5422442244224422
IGXZLYMCFZHNKW-OGFXRTJISA-L,[Zn+2].O=C([N-][C@H](Cc1[nH]cnc1)C(=O)[O-])CCN,0.13613861386138615
LBHIOVVIQHSOQN-UHFFFAOYSA-N,O([N+](=O)[O-])CCNC(=O)c1cccnc1,0.19100660066006597
BPKUDUSVDVLOPY-UHFFFAOYSA-N,O1c2c(NC(=O)C1(c1ccc(O)cc1)c1ccc(O)cc1)cccc2,0.43564356435643564
CLOMYZFHNHFSIQ-UHFFFAOYSA-N,Clc1cccc(Nc2ncccc2C(O)=O)c1C,0.21287128712871287
YEZNLOUZAIOMLT-UHFFFAOYSA-N,Clc1cccc(Nc2ccccc2C(O)=O)c1C,0.21782178217821782
OEHFRZLKGRKFAS-UHFFFAOYSA-N,S1(=O)(=O)N(C2=C(OC(=O)N(C2=O)c2ncccc2)c2c1cccc2)C,0.35396039603960394
DKYWVDODHFEZIM-NSHDSACASA-N,OC(=O)[C@@H](C)c1cc(ccc1)C(=O)c1ccccc1,0.23267326732673269
HEFNNWSXXWATRW-JTQLQIEISA-N,OC(=O)[C@@H](C)c1ccc(cc1)CC(C)C,0.0297029702970297
YMBXTVYHTMGZDW-UHFFFAOYSA-N,O=C1CCCC1Cc1ccc(cc1)C(C(O)=O)C,0.15346534653465346
OJZYRQPMEIEQFC-UAWLTFRCSA-N,O=C1C[C@@H](O)[C@H](\C=C\[C@@H](O)C[C@H](CCCC)C)[C@H]1CCCC\C=C\C(O)=O,0.1995049504950495
GMZVRMREEHBGGF-UHFFFAOYSA-N,O=C1N(CCC1)CC(O)=N,0.15099009900990099
GPFAJKDEDBRFOS-FKQDBXSBSA-N,O1CCN(CC1)CCOc1c2O[C@@H]3[C@]45[C@H]([C@H](N(CC4)C)Cc(c25)cc1)C=C[C@@H]3O,0.29207920792079206
VRYMTAVOXVTQEF-UHFFFAOYSA-N,O(C(=O)C)c1cc(C(C)C)c(OCCN(C)C)cc1C,0.2924328147100424
BHIAIPWSVYSKJS-UHFFFAOYSA-N,s1c(ccc1C(=O)N)-c1nc(sc1)SCC(O)CNC(C)(C)C,0.3341584158415842
CHHXEZSCHQVSRE-UHFFFAOYSA-N,S1C(Cc2ccc(OCCN(C)c3ncnc(Oc4ccc(OC)cc4)c3)cc2)C(=O)NC1=O,0.4612211221122112
DOTIMEKVTCOGED-UHFFFAOYSA-N,Clc1cc(N2CCN(CC2)CCc2n[nH]c(c2)C)ccc1,0.6691419141914192
BNRMWKUVWLKDQJ-YJBOKZPZSA-N,FC(F)(F)c1cc(N2CCN(CC2)CCc2n3C[C@H]4[C@H](CCC4)c3nn2)ccc1,0.7574257425742574
IZBNNCFOBMGTQX-UHFFFAOYSA-N,Clc1cc(N2CCN(CC2)CCCN2N=C(N(CC)C2=O)CC)ccc1,0.8745874587458747
YWPHCCPCQOJSGZ-UHFFFAOYSA-N,O1CCNCC1COc1ccccc1OCC,0.4443894389438943
NBRBXGKOEOGLOI-UHFFFAOYSA-N,S(=O)(=O)(Nc1cc2c(cc(cc2)-c2cc(N3C=CC(=O)NC3=O)cc(C(C)(C)C)c2OC)cc1)C,0.5118811881188119
PHTUQLWOUWZIMZ-BOPFTXTBSA-N,S1Cc2c(cccc2)\C(\c2c1cccc2)=C\CCN(C)C,0.9331683168316832
VMZUTJCNQWMAGF-UHFFFAOYSA-N,Clc1ccccc1C1=NCc2n(-c3sc(cc13)CC)c(nn2)C,0.27722772277227725
WAQWMCHJMODHTN-UHFFFAOYSA-N,[TcH+6].O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C,
BDMZPZIFZPWFFW-UHFFFAOYSA-N,[Tc].P(CCOCC)(CCOCC)CCP(CCOCC)CCOCC,0.32673267326732675
NLJMYIDDQXHKNR-UHFFFAOYSA-K,[Na+].[Na+].[Na+].O.O.OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],
GLNADSQYFUSGOU-GPTZEZBUSA-J,S(=O)(=O)([O-])c1cc2c(c(O)c1\N=N\c1ccc(cc1C)-c1cc(C)c(\N=N\c3c(O)c4c(cc3S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc4N)cc1)c(N)cc(S(=O)(=O)[O-])c2.[Na+].[Na+].[Na+].[Na+],0.42326732673267325
CURLTUGMZLYLDI-UHFFFAOYSA-N,O=C=O,0.05693069306930693
DGAIEPBNLOQYER-UHFFFAOYSA-N,Ic1c(C(=O)N(CC(O)CO)C)c(I)c(N=C(O)COC)c(I)c1C(O)=NCC(O)CO,0.35678925035360676
HRXKRNGNAMMEHJ-UHFFFAOYSA-K,[Na+].[Na+].[Na+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],
FAPWRFPIFSIZLT-UHFFFAOYSA-M,[Cl-].[Na+],
VVECGOCJFKTUAX-UHFFFAOYSA-N,s1c2cc(O)ccc2nc1-c1cc(F)c(NC)cc1,0.3498349834983498
ZCXUVYAZINUVJD-UKFBFLRUSA-N,F[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@@H]1O)CO,0.15132013201320133
